root:  8next_id: 13grade: 5

id                  | father                  | childs                  | values
1                   |  8                      |   3,  2, 12,  7,  11    | 18 29 39 49
2                   |  1                      |  -1, -1, -1, -1, -1     | 20 28      
3                   |  1                      |  -1, -1, -1, -1, -1     |  1 10 16   
4                   |  9                      |  -1, -1, -1, -1, -1     | 83 86 89 90
5                   |  9                      |  -1, -1, -1, -1, -1     | 62 63      
6                   |  9                      |  -1, -1, -1, -1, -1     | 97 99      
7                   |  1                      |  -1, -1, -1, -1, -1     | 45 48      
8                   |  -1                     |   1,  9, -1, -1, -1     | 59         
9                   |  8                      |   5,  10, 4,  6, -1     | 66 79 91   
10                  |  9                      |  -1, -1, -1, -1, -1     | 67 74 75   
11                  |  1                      |  -1, -1, -1, -1, -1     | 50 58      
12                  |  1                      |  -1, -1, -1, -1, -1     | 31 36      

13                  |  45                     |  1, 9, -1, -1, -1       | 59         
